categoria_produto,localidade_estado,quantidade_vendas
construcao_ferramentas_jardim,RJ,12411
construcao_ferramentas_jardim,RN,210
construcao_ferramentas_jardim,RO,210
construcao_ferramentas_jardim,RS,1062
construcao_ferramentas_jardim,SC,389
construcao_ferramentas_jardim,SP,12305
construcao_ferramentas_seguranca,BA,452
construcao_ferramentas_seguranca,CE,243
construcao_ferramentas_seguranca,DF,97
construcao_ferramentas_seguranca,GO,314
construcao_ferramentas_seguranca,MG,7260
construcao_ferramentas_seguranca,MS,86
construcao_ferramentas_seguranca,MT,521
construcao_ferramentas_seguranca,PB,303
construcao_ferramentas_seguranca,PE,101
construcao_ferramentas_seguranca,PR,946
construcao_ferramentas_seguranca,RJ,5004
construcao_ferramentas_seguranca,RN,13
construcao_ferramentas_seguranca,RO,14
construcao_ferramentas_seguranca,RS,1207
construcao_ferramentas_seguranca,SC,1750
construcao_ferramentas_seguranca,SE,11
construcao_ferramentas_seguranca,SP,8231
cool_stuff,AC,165
cool_stuff,AL,1124
cool_stuff,AM,130
cool_stuff,AP,47
cool_stuff,BA,16323
cool_stuff,CE,2300
cool_stuff,DF,3205
cool_stuff,ES,10343
cool_stuff,GO,6605
cool_stuff,MA,2339
cool_stuff,MG,110729
cool_stuff,MS,2509
cool_stuff,MT,6629
cool_stuff,PA,3926
cool_stuff,PB,1085
cool_stuff,PE,4953
cool_stuff,PI,854
cool_stuff,PR,27834
cool_stuff,RJ,104826
cool_stuff,RN,669
cool_stuff,RO,1056
cool_stuff,RR,78
cool_stuff,RS,35681
cool_stuff,SC,24556
cool_stuff,SE,966
cool_stuff,SP,182934
cool_stuff,TO,975
dvds_blu_ray,AL,110
dvds_blu_ray,DF,148
dvds_blu_ray,GO,34
dvds_blu_ray,MG,842
dvds_blu_ray,MS,567
dvds_blu_ray,PE,179
dvds_blu_ray,PI,76
dvds_blu_ray,PR,44
dvds_blu_ray,RJ,3622
dvds_blu_ray,RN,26
dvds_blu_ray,RO,124
dvds_blu_ray,RS,470
dvds_blu_ray,SC,292
dvds_blu_ray,SP,3304
eletrodomesticos,AL,218
eletrodomesticos,AM,55
eletrodomesticos,BA,3650
eletrodomesticos,CE,213
eletrodomesticos,DF,528
eletrodomesticos,ES,2514
eletrodomesticos,GO,607
eletrodomesticos,MA,71
eletrodomesticos,MG,21061
eletrodomesticos,MS,516
eletrodomesticos,MT,1558
eletrodomesticos,PA,860
eletrodomesticos,PB,110
eletrodomesticos,PE,204
eletrodomesticos,PI,147
eletrodomesticos,PR,4687
eletrodomesticos,RJ,18990
eletrodomesticos,RN,45
eletrodomesticos,RO,255
eletrodomesticos,RR,144
eletrodomesticos,RS,6703
eletrodomesticos,SC,2760
eletrodomesticos,SE,12
eletrodomesticos,SP,44975
eletrodomesticos,TO,89
eletrodomesticos_2,AL,557
eletrodomesticos_2,AM,21
eletrodomesticos_2,BA,473
eletrodomesticos_2,CE,159
eletrodomesticos_2,DF,320
eletrodomesticos_2,ES,231
eletrodomesticos_2,GO,247
eletrodomesticos_2,MG,3831
eletrodomesticos_2,MS,323
eletrodomesticos_2,MT,219
eletrodomesticos_2,PE,459
eletrodomesticos_2,PI,39
eletrodomesticos_2,PR,1288
eletrodomesticos_2,RJ,10356
eletrodomesticos_2,RN,54
eletrodomesticos_2,RS,1077
eletrodomesticos_2,SC,3618
eletrodomesticos_2,SE,47
eletrodomesticos_2,SP,11568
eletrodomesticos_2,TO,171
eletronicos,AC,411
eletronicos,AL,2319
eletronicos,AM,223
eletronicos,AP,210
eletronicos,BA,10999
eletronicos,CE,2813
eletronicos,DF,2709
eletronicos,ES,13185
eletronicos,GO,2501
eletronicos,MA,826
eletronicos,MG,77029
eletronicos,MS,1614
eletronicos,MT,3170
eletronicos,PA,2016
eletronicos,PB,734
eletronicos,PE,2995
eletronicos,PI,678
eletronicos,PR,21516
eletronicos,RJ,101078
eletronicos,RN,859
eletronicos,RO,389
eletronicos,RR,98
eletronicos,RS,24459
eletronicos,SC,15811
eletronicos,SE,1880
eletronicos,SP,140835
eletronicos,TO,474
eletroportateis,AC,15
eletroportateis,BA,2728
eletroportateis,CE,355
eletroportateis,DF,641
eletroportateis,ES,1050
eletroportateis,GO,894
eletroportateis,MA,86
eletroportateis,MG,18015
eletroportateis,MS,696
eletroportateis,MT,1397
eletroportateis,PA,624
eletroportateis,PB,97
eletroportateis,PE,101
eletroportateis,PR,6196
eletroportateis,RJ,24781
eletroportateis,RN,148
eletroportateis,RO,192
eletroportateis,RS,6480
eletroportateis,SC,5189
eletroportateis,SE,148
eletroportateis,SP,45127
esporte_lazer,AC,475
esporte_lazer,AL,4406
esporte_lazer,AM,590
esporte_lazer,AP,530
esporte_lazer,BA,32412
esporte_lazer,CE,4610
esporte_lazer,DF,9137
esporte_lazer,ES,29285
esporte_lazer,GO,11704
esporte_lazer,MA,5622
esporte_lazer,MG,246929
esporte_lazer,MS,6791
esporte_lazer,MT,10387
esporte_lazer,PA,6614
esporte_lazer,PB,1716
esporte_lazer,PE,11354
esporte_lazer,PI,1886
esporte_lazer,PR,62178
esporte_lazer,RJ,254583
esporte_lazer,RN,1310
esporte_lazer,RO,2282
esporte_lazer,RR,231
esporte_lazer,RS,70127
esporte_lazer,SC,58030
esporte_lazer,SE,1725
esporte_lazer,SP,503861
esporte_lazer,TO,1610
fashion_bolsas_e_acessorios,AC,72
fashion_bolsas_e_acessorios,AL,162
fashion_bolsas_e_acessorios,AM,16
fashion_bolsas_e_acessorios,BA,7687
fashion_bolsas_e_acessorios,CE,1330
fashion_bolsas_e_acessorios,DF,1972
fashion_bolsas_e_acessorios,ES,6390
fashion_bolsas_e_acessorios,GO,3459
fashion_bolsas_e_acessorios,MA,2055
fashion_bolsas_e_acessorios,MG,60305
fashion_bolsas_e_acessorios,MS,1128
fashion_bolsas_e_acessorios,MT,2444
fashion_bolsas_e_acessorios,PA,1767
fashion_bolsas_e_acessorios,PB,771
fashion_bolsas_e_acessorios,PE,2256
fashion_bolsas_e_acessorios,PI,123
fashion_bolsas_e_acessorios,PR,16424
fashion_bolsas_e_acessorios,RJ,49765
fashion_bolsas_e_acessorios,RN,190
fashion_bolsas_e_acessorios,RO,689
fashion_bolsas_e_acessorios,RS,12729
fashion_bolsas_e_acessorios,SC,12093
fashion_bolsas_e_acessorios,SE,667
fashion_bolsas_e_acessorios,SP,111490
fashion_bolsas_e_acessorios,TO,499
fashion_calcados,AC,167
fashion_calcados,AL,56
fashion_calcados,BA,278
fashion_calcados,CE,149
fashion_calcados,DF,386
fashion_calcados,ES,1397
fashion_calcados,GO,624
fashion_calcados,MA,50
fashion_calcados,MG,11397
fashion_calcados,MS,383
fashion_calcados,MT,409
fashion_calcados,PA,218
fashion_calcados,PB,28
fashion_calcados,PE,791
fashion_calcados,PI,9
fashion_calcados,PR,1678
fashion_calcados,RJ,6328
fashion_calcados,RN,43
fashion_calcados,RO,21
fashion_calcados,RS,1778
fashion_calcados,SC,1722
fashion_calcados,SP,13167
fashion_calcados,TO,24
fashion_esporte,BA,106
fashion_esporte,MA,12
fashion_esporte,MG,1159
fashion_esporte,PA,1440
fashion_esporte,PR,129
fashion_esporte,RJ,329
fashion_esporte,RS,210
fashion_esporte,SC,291
fashion_esporte,SP,2637
fashion_roupa_feminina,BA,94
fashion_roupa_feminina,DF,27
fashion_roupa_feminina,ES,150
fashion_roupa_feminina,GO,216
fashion_roupa_feminina,MG,1828
fashion_roupa_feminina,MT,31
fashion_roupa_feminina,PB,60
fashion_roupa_feminina,PR,281
fashion_roupa_feminina,RJ,107
fashion_roupa_feminina,SC,76
fashion_roupa_feminina,SP,3475
fashion_roupa_infanto_juvenil,BA,75
fashion_roupa_infanto_juvenil,RJ,349
fashion_roupa_infanto_juvenil,SC,298
fashion_roupa_infanto_juvenil,SP,373
fashion_roupa_masculina,BA,948
fashion_roupa_masculina,CE,41
fashion_roupa_masculina,ES,593
fashion_roupa_masculina,GO,129
fashion_roupa_masculina,MA,76
fashion_roupa_masculina,MG,5220
fashion_roupa_masculina,MT,72
fashion_roupa_masculina,PA,78
fashion_roupa_masculina,PR,1251
fashion_roupa_masculina,RJ,2896
fashion_roupa_masculina,RS,1858
fashion_roupa_masculina,SC,366
fashion_roupa_masculina,SP,6313
fashion_underwear_e_moda_praia,BA,510
fashion_underwear_e_moda_praia,DF,128
fashion_underwear_e_moda_praia,ES,71
fashion_underwear_e_moda_praia,GO,378
fashion_underwear_e_moda_praia,MG,2952
fashion_underwear_e_moda_praia,MS,272
fashion_underwear_e_moda_praia,MT,10
fashion_underwear_e_moda_praia,PA,141
fashion_underwear_e_moda_praia,PE,36
fashion_underwear_e_moda_praia,PI,81
fashion_underwear_e_moda_praia,PR,638
fashion_underwear_e_moda_praia,RJ,4254
fashion_underwear_e_moda_praia,RS,354
fashion_underwear_e_moda_praia,SC,1417
fashion_underwear_e_moda_praia,SP,7084
ferramentas_jardim,AC,180
ferramentas_jardim,AL,803
ferramentas_jardim,AM,160
ferramentas_jardim,AP,103
ferramentas_jardim,BA,15722
ferramentas_jardim,CE,2562
ferramentas_jardim,DF,2682
ferramentas_jardim,ES,19259
ferramentas_jardim,GO,8527
ferramentas_jardim,MA,1256
ferramentas_jardim,MG,153934
ferramentas_jardim,MS,1806
ferramentas_jardim,MT,6732
ferramentas_jardim,PA,4171
ferramentas_jardim,PB,902
ferramentas_jardim,PE,4696
ferramentas_jardim,PI,1025
ferramentas_jardim,PR,21548
ferramentas_jardim,RJ,135713
ferramentas_jardim,RN,878
ferramentas_jardim,RO,331
ferramentas_jardim,RR,82
ferramentas_jardim,RS,41322
ferramentas_jardim,SC,24252
ferramentas_jardim,SE,1541
ferramentas_jardim,SP,217146
ferramentas_jardim,TO,700
flores,ES,737
flores,GO,86
flores,MG,1441
flores,MS,1
flores,PE,288
flores,RJ,1544
flores,RS,391
flores,SP,1759
fraldas_higiene,BA,96
fraldas_higiene,CE,64
fraldas_higiene,MG,367
fraldas_higiene,PB,111
fraldas_higiene,PR,412
fraldas_higiene,RJ,406
fraldas_higiene,SP,4153
industria_comercio_e_negocios,AL,15
industria_comercio_e_negocios,BA,369
industria_comercio_e_negocios,CE,49
industria_comercio_e_negocios,DF,212
industria_comercio_e_negocios,ES,130
industria_comercio_e_negocios,GO,299
industria_comercio_e_negocios,MA,249
industria_comercio_e_negocios,MG,2760
industria_comercio_e_negocios,MS,50
industria_comercio_e_negocios,MT,156
industria_comercio_e_negocios,PB,293
industria_comercio_e_negocios,PE,158
industria_comercio_e_negocios,PI,80
industria_comercio_e_negocios,PR,1070
industria_comercio_e_negocios,RJ,5163
industria_comercio_e_negocios,RN,36
industria_comercio_e_negocios,RO,117
industria_comercio_e_negocios,RS,2565
industria_comercio_e_negocios,SC,3478
industria_comercio_e_negocios,SE,300
industria_comercio_e_negocios,SP,19467
industria_comercio_e_negocios,TO,176
informatica_acessorios,AC,674
informatica_acessorios,AL,2844
informatica_acessorios,AM,677
informatica_acessorios,AP,860
informatica_acessorios,BA,31366
informatica_acessorios,CE,4647
informatica_acessorios,DF,6525
informatica_acessorios,ES,24409
informatica_acessorios,GO,8293
informatica_acessorios,MA,5948
informatica_acessorios,MG,245093
informatica_acessorios,MS,6297
informatica_acessorios,MT,9078
informatica_acessorios,PA,8407
informatica_acessorios,PB,2504
informatica_acessorios,PE,7943
informatica_acessorios,PI,1548
informatica_acessorios,PR,50500
informatica_acessorios,RJ,243937
informatica_acessorios,RN,1434
informatica_acessorios,RO,1936
informatica_acessorios,RR,200
informatica_acessorios,RS,76065
informatica_acessorios,SC,50141
informatica_acessorios,SE,2707
informatica_acessorios,SP,418297
informatica_acessorios,TO,1085
instrumentos_musicais,AC,165
instrumentos_musicais,AL,4
instrumentos_musicais,AM,54
instrumentos_musicais,AP,141
instrumentos_musicais,BA,4019
instrumentos_musicais,CE,242
instrumentos_musicais,DF,299
instrumentos_musicais,ES,3206
instrumentos_musicais,GO,427
instrumentos_musicais,MA,406
instrumentos_musicais,MG,16816
instrumentos_musicais,MS,341
instrumentos_musicais,MT,1005
instrumentos_musicais,PA,1461
instrumentos_musicais,PB,599
instrumentos_musicais,PE,1011
instrumentos_musicais,PI,264
instrumentos_musicais,PR,4598
instrumentos_musicais,RJ,19536
instrumentos_musicais,RN,40
instrumentos_musicais,RO,5
instrumentos_musicais,RS,5523
instrumentos_musicais,SC,4301
instrumentos_musicais,SE,152
instrumentos_musicais,SP,36219
instrumentos_musicais,TO,34
la_cuisine,GO,136
la_cuisine,MG,690
la_cuisine,RS,248
la_cuisine,SC,140
la_cuisine,SP,1342
livros_importados,BA,71
livros_importados,MA,150
livros_importados,MG,1203
livros_importados,PA,324
livros_importados,PR,223
livros_importados,RJ,1433
livros_importados,RS,423
livros_importados,SC,426
livros_importados,SE,75
livros_importados,SP,4705
livros_interesse_geral,AC,237
livros_interesse_geral,AL,220
livros_interesse_geral,AM,18
livros_interesse_geral,BA,1707
livros_interesse_geral,CE,396
livros_interesse_geral,DF,854
livros_interesse_geral,ES,2042
livros_interesse_geral,GO,1086
livros_interesse_geral,MA,255
livros_interesse_geral,MG,16672
livros_interesse_geral,MS,224
livros_interesse_geral,MT,290
livros_interesse_geral,PA,320
livros_interesse_geral,PB,305
livros_interesse_geral,PE,568
livros_interesse_geral,PI,45
livros_interesse_geral,PR,4151
livros_interesse_geral,RJ,12520
livros_interesse_geral,RN,1458
livros_interesse_geral,RO,19
livros_interesse_geral,RS,5085
livros_interesse_geral,SC,2253
livros_interesse_geral,SE,95
livros_interesse_geral,SP,32491
livros_interesse_geral,TO,135
livros_tecnicos,BA,643
livros_tecnicos,CE,173
livros_tecnicos,DF,256
livros_tecnicos,ES,3405
livros_tecnicos,GO,488
livros_tecnicos,MA,243
livros_tecnicos,MG,7699
livros_tecnicos,MS,356
livros_tecnicos,MT,1243
livros_tecnicos,PA,201
livros_tecnicos,PE,213
livros_tecnicos,PI,18
livros_tecnicos,PR,1965
livros_tecnicos,RJ,6888
livros_tecnicos,RN,90
livros_tecnicos,RS,2037
livros_tecnicos,SC,1014
livros_tecnicos,SP,15557
livros_tecnicos,TO,74
malas_acessorios,AC,246
malas_acessorios,AL,206
malas_acessorios,AM,264
malas_acessorios,BA,2490
malas_acessorios,CE,1369
malas_acessorios,DF,733
malas_acessorios,ES,1315
malas_acessorios,GO,574
malas_acessorios,MA,902
malas_acessorios,MG,53767
malas_acessorios,MS,726
malas_acessorios,MT,740
malas_acessorios,PA,677
malas_acessorios,PB,201
malas_acessorios,PE,1133
malas_acessorios,PI,178
malas_acessorios,PR,6314
malas_acessorios,RJ,28103
malas_acessorios,RN,8
malas_acessorios,RO,444
malas_acessorios,RS,7517
malas_acessorios,SC,5236
malas_acessorios,SE,403
malas_acessorios,SP,61061
malas_acessorios,TO,162
market_place,AC,164
market_place,AL,978
market_place,AM,18
market_place,BA,511
market_place,CE,167
market_place,DF,249
market_place,ES,1681
market_place,GO,1137
market_place,MA,762
market_place,MG,7410
market_place,MS,143
market_place,MT,643
market_place,PA,451
market_place,PB,344
market_place,PE,812
market_place,PI,102
market_place,PR,1602
market_place,RJ,9649
market_place,RN,85
market_place,RO,11
market_place,RS,2426
market_place,SC,2201
market_place,SE,244
market_place,SP,13984
