Continent,Country,Score_Happiness,Result_Happiness,Depression_disorders_Male,Depression_disorders_Female,Depression_disorders_Both_Gender,Rate_Suicide_Both_Gender,Rate_Suicide_Male,Rate_Suicide_Female,Year
Africa,Algeria,5.211,unhappy country,3.47209970528929,5.26685410107029,4.36947690317979,2.5,3.1,1.8,2019
Africa,Egypt,4.166,unhappy country,3.1682816755801904,5.15070890722535,4.15949529140277,3.0,4.0,2.0,2019
Africa,Libya,5.525,happy country,3.85440163978884,5.37213258274159,4.613267111265214,4.5,6.0,2.9,2019
Africa,Morocco,5.208,unhappy country,4.36497131710114,6.24537608955704,5.30517370332909,7.2,9.7,4.7,2019
Africa,Tunisia,4.461,unhappy country,4.48393210307354,6.1487891372385794,5.316360620156059,3.3,4.7,1.9,2019
Africa,Burundi,3.775,unhappy country,3.97997293986729,5.63115645536284,4.805564697615065,6.2,9.2,3.4,2019
Africa,Comoros,3.973,unhappy country,3.65067748068314,5.13268107551048,4.39167927809681,5.4,7.0,3.8,2019
Africa,Ethiopia,4.286,unhappy country,4.26962575444714,5.21488285723844,4.74225430584279,5.4,7.7,3.1,2019
Africa,Kenya,4.509,unhappy country,4.12367654725355,5.56478811698137,4.8442323321174605,6.1,9.1,3.2,2019
Africa,Madagascar,3.933,unhappy country,4.12469284683854,5.57400264542355,4.849347746131045,5.5,7.6,3.4,2019
Africa,Malawi,3.41,unhappy country,3.4205871872054,4.9194464609227895,4.170016824064095,5.4,9.2,1.7,2019
Africa,Mauritius,5.888,happy country,3.05122091528439,4.8125028402798105,3.9318618777821,9.5,16.3,2.8,2019
Africa,Mozambique,4.466,unhappy country,4.3647819837231,5.70114014566997,5.032961064696535,13.6,22.0,5.7,2019
Africa,Rwanda,3.334,unhappy country,4.10606669795542,6.219665330694539,5.16286601432498,5.6,8.2,3.0,2019
Africa,Somalia,4.668,unhappy country,3.94137280966041,5.8422623298404,4.891817569750405,7.9,12.0,3.8,2019
Africa,Uganda,4.189,unhappy country,5.7162630635141,7.53426256826266,6.62526281588838,4.6,7.6,1.7,2019
Africa,Zambia,4.107,unhappy country,3.69431069408284,4.88367149482895,4.288991094455895,7.3,12.0,2.7,2019
Africa,Zimbabwe,3.663,unhappy country,3.08047216293205,3.94150648709926,3.5109893250156547,14.1,20.0,8.8,2019
Africa,Cameroon,5.044,unhappy country,3.80783629489407,5.5979252504035895,4.70288077264883,9.0,13.6,4.4,2019
Africa,Central African Republic,3.083,unhappy country,5.2329483663334,6.67954597048484,5.956247168409121,12.3,19.6,5.2,2019
Africa,Chad,4.35,unhappy country,4.20214522440092,6.2438708084457,5.22300801642331,6.4,9.6,3.3,2019
Africa,Gabon,4.799,unhappy country,5.069306913344071,6.17893569292291,5.6241213031334905,8.4,14.2,2.4,2019
Africa,Botswana,3.488,unhappy country,3.70272884426198,5.107639537168461,4.40518419071522,16.1,26.3,6.4,2019
Africa,Lesotho,3.802,unhappy country,4.47841819274706,6.813927565496631,5.6461728791218455,72.4,116.0,30.1,2019
Africa,Namibia,4.639,unhappy country,3.2371167651959096,4.16590340088173,3.7015100830388197,9.7,16.7,3.2,2019
Africa,South Africa,4.722,unhappy country,3.4577918555440497,5.31603990298332,4.386915879263685,23.5,37.6,9.8,2019
Africa,Benin,4.883,unhappy country,3.65943547384394,5.32664236373972,4.49303891879183,7.8,11.8,3.8,2019
Africa,Burkina Faso,4.587,unhappy country,3.80928884015602,4.96945480440289,4.389371822279455,7.5,11.3,3.7,2019
Africa,Gambia,4.516,unhappy country,3.2640998076258,7.895276772206359,5.57968828991608,4.8,6.6,3.0,2019
Africa,Ghana,4.996,unhappy country,3.65194438986325,5.165156660433181,4.4085505251482155,6.6,11.8,1.2,2019
Africa,Guinea,4.534,unhappy country,3.374948431064749,5.41038156879798,4.392664999931364,7.0,9.2,4.9,2019
Africa,Liberia,3.975,unhappy country,2.8653856210912,6.399292769622781,4.63233919535699,4.5,5.6,3.3,2019
Africa,Mali,4.39,unhappy country,2.80042022532069,4.38587799816086,3.5931491117407752,4.1,5.3,2.9,2019
Africa,Mauritania,4.49,unhappy country,3.3234923327075103,4.15487479373265,3.73918356322008,3.1,4.0,2.2,2019
Africa,Niger,4.628,unhappy country,3.28052290802405,5.25476887007036,4.2676458890472055,5.3,7.2,3.3,2019
Africa,Nigeria,5.265,unhappy country,3.09153501684925,4.55542912971977,3.8234820732845103,3.5,5.0,1.9,2019
Africa,Senegal,4.681,unhappy country,3.47502748483577,4.69461723959673,4.08482236221625,6.0,9.2,3.0,2019
Africa,Sierra Leone,4.374,unhappy country,3.37161739989969,5.5243685740692205,4.447992986984455,6.7,8.3,5.1,2019
Africa,Togo,4.085,unhappy country,3.65056924485275,5.364183538262781,4.507376391557766,8.8,13.8,3.9,2019
Americas,Dominican Republic,5.425,happy country,2.98515345042952,4.99550837973947,3.990330915084495,4.9,8.0,1.8,2019
Americas,Haiti,3.597,unhappy country,2.68471749391998,4.64935813370299,3.6670378138114854,9.6,11.8,7.6,2019
Americas,Jamaica,5.89,happy country,2.31383944171732,4.04772250685506,3.18078097428619,2.4,3.7,1.1,2019
Americas,Costa Rica,7.167,happy country,2.84040404615655,3.93112590023378,3.3857649731951653,8.1,14.1,2.0,2019
Americas,El Salvador,6.253,happy country,2.78183372284681,4.24279750413662,3.5123156134917153,6.1,10.5,2.1,2019
Americas,Guatemala,6.436,happy country,2.80829473994114,4.69560530321751,3.751950021579325,5.9,9.3,2.6,2019
Americas,Honduras,5.86,happy country,2.4971409056507,3.9798691824322505,3.2385050440414753,2.1,3.3,0.8,2019
Americas,Mexico,6.595,happy country,2.7015778316065098,4.721953144513949,3.7117654880602293,5.3,8.5,2.2,2019
Americas,Nicaragua,6.105,happy country,2.77021530202921,4.059803186643189,3.4150092443361997,4.4,6.9,1.9,2019
Americas,Panama,6.321,happy country,2.54540291262151,3.67396149236877,3.10968220249514,2.9,4.7,1.0,2019
Americas,Argentina,6.086,happy country,2.0221102106975497,3.10686732489759,2.56448876779757,8.4,13.7,3.3,2019
Americas,Brazil,6.3,happy country,2.78731900964607,5.08376935003574,3.935544179840905,6.9,10.9,3.0,2019
Americas,Chile,6.444,happy country,2.68823770730592,5.12435219858899,3.906294952947455,9.0,14.9,3.2,2019
