Continent,Country,Score_Happiness,Result_Happiness,Depression_disorders_Male,Depression_disorders_Female,Depression_disorders_Both_Gender,Rate_Suicide_Both_Gender,Rate_Suicide_Male,Rate_Suicide_Female,Year
Americas,Colombia,6.125,happy country,2.24598914287373,2.44819935433824,2.347094248605985,3.9,6.1,1.8,2019
Americas,Ecuador,6.028,happy country,2.81844252282966,4.16506415719922,3.49175334001444,7.6,11.6,3.6,2019
Americas,Paraguay,5.743,happy country,2.42863872211072,5.33329431678992,3.88096651945032,6.0,8.7,3.2,2019
Americas,Peru,5.697,happy country,1.83511009974538,2.79172417911305,2.313417139429215,2.8,4.2,1.4,2019
Americas,Uruguay,6.293,happy country,2.24384039426963,3.81195081557395,3.02789560492179,21.2,34.5,8.9,2019
Americas,Canada,7.278,happy country,2.79118010130369,4.431245527288881,3.6112128142962856,11.8,17.6,6.1,2019
Asia,Kazakhstan,5.809,happy country,2.93964159855763,4.24678332427893,3.59321246141828,17.6,29.0,6.8,2019
Asia,Kyrgyzstan,5.261,unhappy country,2.84321083289568,4.1944196254573605,3.5188152291765205,7.4,11.7,3.2,2019
Asia,Tajikistan,5.467,happy country,2.2196700478360603,3.67439203365922,2.94703104074764,4.3,5.7,2.8,2019
Asia,Turkmenistan,5.247,unhappy country,2.51212969327725,3.89982464199099,3.2059771676341198,5.7,8.8,2.7,2019
Asia,Uzbekistan,6.174,happy country,2.64110048079329,3.9361367974465695,3.28861863911993,8.0,11.3,4.8,2019
Asia,China,5.191,unhappy country,2.2421665600633,3.57227287382102,2.90721971694216,8.1,9.8,6.2,2019
Asia,Japan,5.886,happy country,1.93542454285329,2.63701876564562,2.286221654249455,15.3,21.8,9.2,2019
Asia,Mongolia,5.285,unhappy country,3.42514569503092,4.83888541870094,4.13201555686593,17.9,30.7,5.4,2019
Asia,Cambodia,4.7,unhappy country,2.62560021581981,3.38671915440878,3.006159685114295,4.9,7.0,2.8,2019
Asia,Indonesia,5.192,unhappy country,2.07382933067356,2.95749438187451,2.515661856274035,2.4,3.7,1.1,2019
Asia,Malaysia,5.339,unhappy country,3.47613527282992,4.30810670383113,3.892120988330525,5.7,8.9,2.3,2019
Asia,Philippines,5.631,happy country,2.4133135776904,3.3505012316043,2.8819074046473503,2.2,3.1,1.2,2019
Asia,Singapore,6.262,happy country,1.8749274826563,2.52292519740079,2.198926340028545,11.2,15.0,7.1,2019
Asia,Thailand,6.008,happy country,2.5603864479686,3.3869489228693697,2.9736676854189845,8.8,15.0,2.9,2019
Asia,Afghanistan,3.203,unhappy country,4.40151357919987,5.865660886073281,5.133587232636575,4.1,4.6,3.6,2019
Asia,Bangladesh,4.456,unhappy country,3.62185123436086,5.81850793880032,4.72017958658059,3.7,5.7,1.7,2019
Asia,Bhutan,5.082,unhappy country,3.5415160980102702,4.822821510267429,4.18216880413885,4.6,6.3,2.7,2019
Asia,India,4.015,unhappy country,3.19580785848962,4.30342202441248,3.7496149414510502,12.7,14.1,11.1,2019
Asia,Nepal,4.913,unhappy country,4.1474746494801495,5.83561753087055,4.9915460901753494,9.0,16.4,2.7,2019
Asia,Pakistan,5.653,happy country,3.14337538424698,5.07709922108621,4.1102373026665955,8.9,13.3,4.3,2019
Asia,Sri Lanka,4.366,unhappy country,2.71939831831233,3.28114518417058,3.000271751241455,14.0,22.3,6.2,2019
Asia,Armenia,4.559,unhappy country,2.54155005898873,3.7078846182209,3.124717338604815,3.3,5.6,1.3,2019
Asia,Azerbaijan,5.208,unhappy country,2.21122519430632,3.56721895459506,2.8892220744506902,4.1,6.6,1.6,2019
Asia,Bahrain,6.199,happy country,4.127529694446929,5.68418284059269,4.90585626751981,8.9,12.5,2.4,2019
Asia,Cyprus,6.046,happy country,2.51419787614926,4.17027785188394,3.3422378640166,3.6,6.0,1.3,2019
Asia,Georgia,4.519,unhappy country,2.97678221761859,4.00895811475651,3.49287016618755,9.2,16.0,3.0,2019
Asia,Iraq,4.437,unhappy country,3.33890165800481,4.92185770125887,4.13037967963184,3.6,5.2,2.0,2019
Asia,Israel,7.139,happy country,3.52554715853399,5.35068637394469,4.4381167662393395,5.3,8.4,2.3,2019
Asia,Jordan,4.906,unhappy country,3.23903583131496,5.72056672478919,4.479801278052075,1.6,2.5,0.7,2019
Asia,Kuwait,6.021,happy country,3.5860750254878497,5.24279764037136,4.414436332929605,2.9,4.3,0.7,2019
Asia,Lebanon,5.197,unhappy country,3.96298203685337,5.79560387924887,4.87929295805112,2.8,3.8,1.7,2019
Asia,Qatar,6.374,happy country,3.85336438057562,5.36920114561462,4.6112827630951205,5.8,7.2,1.7,2019
Asia,Saudi Arabia,6.375,happy country,3.73701234558756,5.397779456760119,4.56739590117384,6.0,8.9,2.0,2019
Asia,United Arab Emirates,6.825,happy country,3.4422393332514,4.6051520313273,4.02369568228935,6.4,8.0,3.0,2019
Asia,Yemen,3.38,unhappy country,4.01236240034751,6.04348395906574,5.027923179706625,5.8,7.0,4.6,2019
Europe,Belarus,5.323,unhappy country,3.40718923052582,4.73264165332354,4.06991544192468,21.2,36.7,7.7,2019
Europe,Bulgaria,5.011,unhappy country,2.03720665442258,3.6503909858946297,2.8437988201586046,9.7,15.3,4.4,2019
Europe,Hungary,5.758,happy country,2.24874655338952,3.73031822358806,2.98953238848879,16.6,25.9,8.3,2019
Europe,Poland,6.182,happy country,2.19160048136395,2.73268888970688,2.462144685535415,11.3,20.1,3.1,2019
Europe,Romania,6.07,happy country,2.10601853181872,3.50280734616236,2.8044129389905397,9.7,16.5,3.3,2019
Europe,Slovakia,6.198,happy country,1.95942956106943,3.74432540486771,2.85187748296857,12.1,21.2,3.4,2019
Europe,Ukraine,4.332,unhappy country,3.4763392510814297,4.79220897933725,4.13427411520934,21.6,39.2,6.5,2019
Europe,Denmark,7.6,happy country,2.90673890501984,4.74076244435181,3.823750674685825,10.7,14.9,6.5,2019
Europe,Estonia,5.893,happy country,3.2202002851088403,4.66569146487136,3.9429458749901,14.9,24.3,6.5,2019
Europe,Finland,7.769,happy country,3.7234727234434097,5.34363895871404,4.533555841078725,15.3,23.2,7.6,2019
Europe,Iceland,7.494,happy country,2.5056945243108903,3.92373090490344,3.214712714607165,11.9,19.8,3.9,2019
Europe,Ireland,7.021,happy country,3.84036287968824,5.3923478542211,4.61635536695467,9.6,15.4,3.9,2019
Europe,Latvia,5.94,happy country,3.45725329401022,4.55875443852267,4.008003866266445,20.1,35.5,7.0,2019
Europe,Lithuania,6.149,happy country,3.61440715854381,4.86461115429913,4.2395091564214695,26.1,45.4,9.6,2019
Europe,Norway,7.554,happy country,2.9113898270714498,4.107786730092499,3.5095882785819743,11.8,15.8,7.7,2019
Europe,Sweden,7.343,happy country,3.12355354791949,5.79797843933083,4.46076599362516,14.7,19.9,9.5,2019
Europe,Albania,4.719,unhappy country,1.7802327190441398,3.43797400478885,2.6091033619164947,4.3,5.9,2.7,2019
Europe,Bosnia and Herzegovina,5.386,unhappy country,1.99808556638772,3.8248653689287697,2.911475467658245,10.9,17.6,4.5,2019
Europe,Croatia,5.432,happy country,2.39301888770528,4.00972605505538,3.2013724713803304,16.4,25.3,8.1,2019
Europe,Greece,5.287,unhappy country,4.3665965477520805,6.5584870741750905,5.462541810963586,5.1,8.4,1.9,2019
Europe,Italy,6.223,happy country,2.8242755600631098,4.77402089827313,3.79914822916812,6.7,10.1,3.5,2019
Europe,Malta,6.726,happy country,2.62903474299752,4.23541969050145,3.432227216749485,6.1,9.8,2.3,2019
Europe,Montenegro,5.523,happy country,2.0844124676463403,3.8997278411790894,2.9920701544127146,21.0,31.7,10.4,2019
Europe,Portugal,5.693,happy country,3.42712952221755,6.02950586786515,4.7283176950413495,11.5,17.9,5.7,2019
Europe,Serbia,5.603,happy country,2.13188977880294,3.84053742238481,2.9862136005938753,11.4,16.6,6.3,2019
Europe,Slovenia,6.118,happy country,2.3298666396119003,4.36482294042849,3.347344790020195,19.8,31.4,8.3,2019
Europe,Spain,6.354,happy country,3.5597838315978905,6.73674203264005,5.14826293211897,7.7,11.4,4.2,2019
Europe,Austria,7.246,happy country,2.61784566037206,4.19225351510443,3.405049587738245,14.6,22.8,6.7,2019
Europe,Belgium,6.923,happy country,3.18017241022805,4.56924274910612,3.874707579667085,18.3,24.9,11.8,2019
Europe,France,6.592,happy country,3.26639346537847,5.10080283242828,4.183598148903375,13.8,20.4,7.6,2019
Europe,Germany,6.985,happy country,3.00484399987626,4.3884719818981806,3.6966579908872204,12.3,18.6,6.2,2019
Europe,Luxembourg,7.09,happy country,2.82692876235575,4.23698533169176,3.531957047023755,11.3,15.3,7.1,2019
Europe,Switzerland,7.48,happy country,3.2886483391659302,4.85047060582868,4.069559472497305,14.5,20.2,9.0,2019
Oceania,Australia,7.228,happy country,3.96820123890795,5.65381477258652,4.811008005747235,12.5,18.6,6.4,2019
Oceania,New Zealand,7.307,happy country,3.2713890452233003,4.92095857191791,4.096173808570605,11.0,16.5,5.8,2019
